"_loan_id","_client_id","_line_id","_type","_number","_filial","_effect","rate","srok","open_date","end_date","summa","_client_type","_line_number","_line_sum","_open_line","_product","_peni"
"b6722c4d54674cb511e7c8f482cd0d64","bf2e2c4d54674cb511e7a282b4945407",NULL,"Потребительский кредит","37",NULL,"55.700","55.00","12","2017-11-10","2018-11-10","3500000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"829e2c4d54674cb511e7e1670843bcf0","829e2c4d54674cb511e7e1670843bcea",NULL,"Потребительский кредит","46",NULL,"55.700","50.00","12","2017-12-13","2018-12-13","3650000.00","0",NULL,NULL,NULL,"Краткосрочный 12 мес 50 %","1.00"
"b3b92c4d54674cb511e756452d93959e","8fdc2c4d54674cb511e7563798b99721",NULL,"Потребительский кредит","19",NULL,"56.000","55.00","12","2017-06-12","2018-06-19","18000000.00","0",NULL,NULL,NULL," Краткосрочный потребительский кредит под залоговое обеспечение-55%","1.00"
"ac562c4d54674cb511e8e3163332ac60","ac562c4d54674cb511e8e3163332ac5b",NULL,"Потребительский кредит","89","г. Алматы","55.750","55.00","12","2018-11-09","2019-11-09","4000000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"8c162c4d54674cb511e7914b8a31a602","8c162c4d54674cb511e7914b8a31a5fc",NULL,"Потребительский кредит","26",NULL,"49.900","48.00","12","2017-08-31","2018-08-31","2500000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский кредит под 48% на 12 мес с комиссией1%","1.00"
"b6ed2c4d54674cb511e791fd2015fbb3","bdb0d6512ca9c7c311e68a1204cf244e",NULL,"Потребительский кредит","24",NULL,"55.900","55.00","12","2017-08-28","2018-08-28","559000.00","0",NULL,NULL,NULL," Краткосрочный потребительский кредит под залоговое обеспечение-55%","1.00"
"810a00505694c42011e9358d1e603754","810a00505694c42011e92ebc3d7fd243",NULL,"Потребительский кредит","110","г. Алматы","55.700","55.00","12","2019-02-21","2020-02-21","1550000.00","0",NULL,NULL,NULL,"Краткосрочный потребительский продукт  под 55% годовых под залог автомобиля ","1.00"
"892590fba666762811e74775cafcdda0","892590fba666762811e74775cafcdd9b",NULL,"Потребительский кредит","18",NULL,"52.400","48.00","12","2017-06-02","2018-06-02","4500000.00","0",NULL,NULL,NULL,"Краткосрочный кредит на потребительские цели под залоговое обеспечение с льготным периодом 48% комиссия 3%","1.00"
"a6c22c4d54674cb511e7a815b2791149","a1902c4d54674cb511e7a40f7d52cae1",NULL,"Потребительский кредит","27",NULL,"55.200","50.00","18","2017-09-25","2019-03-28","500000.00","0",NULL,NULL,NULL,"Долгосрочный кредитный продукт под залог жилья 50% ","1.00"
"851590fba666762811e70aedef5ecc77","ab8690fba666762811e6ef4a5ce05fb0",NULL,"Потребительский кредит","08",NULL,"50.200","48.00","48","2017-02-08","2021-02-10","13000000.00","0",NULL,NULL,NULL,"Долгосрочный потребительский кредит под залоговое обеспечение","0.50"
